603,272,527,503,282,757,657,676,544,571,340,175,538,749,754,910,254,712,919,553,227,368,429,625,661,148,875,562,237,684
886,363,119,156,877,494,262,906,715,265,770,965,264,229,178,696,259,728,229,373,864,682,876,388,308,538,642,155,858,495
802,348,629,715,360,375,642,202,898,331,467,748,938,253,554,289,396,808,500,557,372,822,597,365,956,270,242,652,146,598
629,597,796,891,587,189,479,733,556,219,182,746,309,194,802,367,709,840,346,783,849,507,273,964,416,356,147,935,358,180
159,701,688,803,767,178,503,984,410,345,620,981,496,450,547,765,823,515,215,358,282,825,668,862,133,662,741,910,196,582
491,977,192,418,783,257,564,867,599,363,106,585,190,799,141,699,131,536,277,291,885,621,944,241,537,702,568,291,732,382
333,535,849,253,120,152,171,492,409,805,116,947,260,158,384,523,452,328,487,100,585,736,211,412,731,400,774,257,544,679
618,559,891,283,304,329,164,774,504,691,640,761,735,317,956,970,528,808,541,915,160,287,849,602,947,188,166,804,974,428
740,835,758,267,873,534,200,130,949,491,361,987,349,731,337,275,637,434,894,189,786,266,792,300,683,581,861,535,276,389
289,293,691,867,659,664,472,298,270,925,100,614,852,129,934,711,809,919,701,332,768,305,901,726,115,333,970,280,363,334
889,855,371,809,360,234,466,737,671,226,596,237,919,720,638,631,648,858,159,784,526,467,719,853,469,626,106,846,946,788
230,762,292,454,843,564,401,723,249,857,911,796,488,635,161,421,445,350,652,456,801,771,160,559,853,892,916,742,523,976
854,768,471,774,745,663,227,309,761,303,148,119,668,929,889,228,135,803,692,289,123,855,795,683,879,773,938,425,398,983
884,360,139,428,506,568,965,170,420,919,627,464,998,182,957,435,416,496,447,974,501,778,511,504,102,206,169,756,139,767
158,253,388,175,630,130,357,362,886,638,836,214,898,484,121,505,904,175,917,733,877,660,919,894,324,799,375,193,340,853
482,962,169,515,570,177,454,802,179,864,522,278,469,828,476,957,171,995,207,167,147,396,483,672,778,321,179,444,185,374
345,143,390,134,456,268,482,210,977,823,319,153,726,903,871,525,973,118,225,532,323,335,576,971,709,287,595,554,715,417
811,736,224,956,102,524,840,547,383,726,984,635,475,499,114,389,137,995,126,551,678,751,906,682,229,738,702,679,314,118
975,330,574,604,336,483,256,704,229,642,369,359,918,823,647,549,244,777,735,173,126,897,361,103,304,668,296,834,307,372
194,897,351,861,189,854,860,924,404,211,491,976,719,645,926,479,495,811,478,783,774,780,480,142,905,800,911,647,831,798
